point_x_m,point_y_m,boundary_case,charge_case,phi_det_V,iterations
0.5,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.00000000014207,494
0.02,0.02,BC1_all_edges_+100V,Q0_zero_charge,99.99999999996544,494
0.02,0.5,BC1_all_edges_+100V,Q0_zero_charge,100.00000000005376,494
0.5,0.5,BC1_all_edges_+100V,Q1_uniform_10,99.26334450976671,494
0.02,0.02,BC1_all_edges_+100V,Q1_uniform_10,99.99069869394071,494
0.02,0.5,BC1_all_edges_+100V,Q1_uniform_10,99.93445072990292,494
0.5,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,99.96316722562234,494
0.02,0.02,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,99.99984813505435,494
0.02,0.5,BC1_all_edges_+100V,Q2_gradient_top1_bottom0,99.99672253654627,494
0.5,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,99.98731160160055,494
0.02,0.02,BC1_all_edges_+100V,Q3_exp_minus10r_centered,99.99997228593504,494
0.02,0.5,BC1_all_edges_+100V,Q3_exp_minus10r_centered,99.99949680364846,494
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-2.6209428309057898e-14,507
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,3.640253675573448e-15,507
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q0_zero_charge,-93.32788909751258,507
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-0.7366554903926971,507
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-0.009301306024787593,507
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q1_uniform_10,-93.39343836766454,507
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-0.0368327745194461,507
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-0.00015186491116658279,507
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q2_gradient_top1_bottom0,-93.3311665610201,507
0.5,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-0.012688398541574943,507
0.02,0.02,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-2.7714030404379785e-05,507
0.02,0.5,BC2_top_bottom_+100_left_right_-100,Q3_exp_minus10r_centered,-93.3283922939179,507
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,-3.0331629966980356e-11,518
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,99.82490294732612,518
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q0_zero_charge,192.51233834464594,518
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,-0.7366554904147998,518
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,99.81560164130126,518
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q1_uniform_10,192.44678907449475,518
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,-0.03683277455037466,518
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,99.8247510824149,518
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q2_gradient_top1_bottom0,192.5090608811382,518
0.5,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,-0.012688398571993881,518
0.02,0.02,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,99.82487523329559,518
0.02,0.5,BC3_top_left_+200_bottom_0_right_-400,Q3_exp_minus10r_centered,192.5118351482403,518
